GA_ARTICLE#GA_CODEARTICLE#GA_LIBELLE#GA_CODEBARRE#GA_PVTTC
226570                           X#226570#Rolex Explorer II#4004764012930#9500
29889                            X#29889#RMX SLEEP WEEKEND##0
29889             001001         X#29889#RMX SLEEP WEEKEND#9990000001347#0
29889             001002         X#29889#RMX SLEEP WEEKEND#9990000001361#0
29889             002001         X#29889#RMX SLEEP WEEKEND#9990000001354#0
29889             002002         X#29889#RMX SLEEP WEEKEND#9990000001378#0
29889             003001         X#29889#RMX SLEEP WEEKEND#9990000001385#0
29889             003002         X#29889#RMX SLEEP WEEKEND#9990000001392#0
29889             004001         X#29889#RMX SLEEP WEEKEND#9990000001408#0
29889             004002         X#29889#RMX SLEEP WEEKEND#9990000001415#0
29889             005001         X#29889#RMX SLEEP WEEKEND#9990000001422#0
29889             005002         X#29889#RMX SLEEP WEEKEND#9990000001439#0
29889             006001         X#29889#RMX SLEEP WEEKEND#9990000001446#0
29889             006002         X#29889#RMX SLEEP WEEKEND#9990000001453#0
29889             007001         X#29889#RMX SLEEP WEEKEND#9990000001460#0
29889             007002         X#29889#RMX SLEEP WEEKEND#9990000001477#0
29889             008001         X#29889#RMX SLEEP WEEKEND#9990000001484#0
29889             008002         X#29889#RMX SLEEP WEEKEND#9990000001491#0
29889-613                        X#29889-613#RMX SLEEP WEEKEND#9990000001330#62,96
433-614                          X#433-614#RELAX STREAMLINE 2##49,97
433-614           001            X#433-614#RELAX STREAMLINE 2#9990000001750#49,97
433-614           002            X#433-614#RELAX STREAMLINE 2#9990000001767#49,97
433-614           003            X#433-614#RELAX STREAMLINE 2#9990000001774#49,97
433-614           004            X#433-614#RELAX STREAMLINE 2#9990000001781#49,97
433-614           005            X#433-614#RELAX STREAMLINE 2#9990000001798#49,97
433-614           006            X#433-614#RELAX STREAMLINE 2#9990000001804#49,97
433-614           007            X#433-614#RELAX STREAMLINE 2#9990000001811#49,97
433-614           008            X#433-614#RELAX STREAMLINE 2#9990000001828#49,97
43386-474                        X#43386-474#RELAX STREAMLINE 1##49,97
43386-474         003            X#43386-474#RELAX STREAMLINE 1#9990000001507#0
43386-474         004            X#43386-474#RELAX STREAMLINE 1#9990000001514#0
43386-474         005            X#43386-474#RELAX STREAMLINE 1#9990000001521#0
43386-474         006            X#43386-474#RELAX STREAMLINE 1#9990000001538#0
43386-475                        X#43386-475#RELAX STREAMLINE 1##49,97
43386-475         001            X#43386-475#RELAX STREAMLINE 1#9990000001675#49,97
43386-475         002            X#43386-475#RELAX STREAMLINE 1#9990000001682#49,97
43386-475         003            X#43386-475#RELAX STREAMLINE 1#9990000001699#49,97
